GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MTS_Project,org.example.controller.comment.response,CommentResponse,18,0,0,0,6,0,3,0,3,0
MTS_Project,org.example.controller.comment.response,CommentCreateResponse,0,9,0,0,0,1,0,2,0,2
MTS_Project,org.example.repository.article,InMemoryArticleRepository,35,100,3,5,6,18,4,7,2,5
MTS_Project,org.example.entities.Article,Article,0,60,0,0,0,16,0,8,0,8
MTS_Project,org.example.entities.Article,ArticleId,0,9,0,0,0,4,0,2,0,2
MTS_Project,org.example.entities.Comment,Comment,6,36,0,0,2,12,2,4,2,4
MTS_Project,org.example.entities.Comment,CommentId,3,6,0,0,1,3,1,1,1,1
MTS_Project,org.example.controller.comment.request,CommentCreateRequest,0,15,0,0,0,1,0,3,0,3
MTS_Project,org.example.controller.article,ArticleFreeMarkerController,0,82,0,2,0,20,0,5,0,4
MTS_Project,org.example.controller.article,ArticleController,96,322,2,4,20,82,2,14,0,13
MTS_Project,org.example.controller.article.response,ArticleCreateResponse,0,9,0,0,0,1,0,2,0,2
MTS_Project,org.example.controller.article.response,ArticleFindResponse,15,34,0,0,6,12,1,6,1,6
MTS_Project,org.example.controller.comment,CommentController,36,128,0,0,8,33,0,7,0,7
MTS_Project,org.example.controller,ErrorResponse,0,9,0,0,0,1,0,2,0,2
MTS_Project,org.example.service.comment,CommentService,0,62,0,0,0,17,0,5,0,5
MTS_Project,org.example.service.article,ArticleService,8,81,0,0,2,24,0,7,0,7
MTS_Project,org.example.controller.article.request,ArticleCreateRequest,0,15,0,0,0,1,0,3,0,3
MTS_Project,org.example.controller.article.request,ArticleUpdateRequest,0,15,0,0,0,1,0,3,0,3
MTS_Project,org.example.repository.comment,InMemoryCommentRepository,50,110,7,7,10,22,6,8,1,6
MTS_Project,org.example,Main,71,0,0,0,11,0,3,0,3,0
MTS_Project,org.example,Application,0,21,0,2,0,7,0,3,0,2
MTS_Project,org.example,FreeMarkerEngine,33,24,0,0,10,7,3,2,3,2
MTS_Project,org.example,TemplateFactory,3,19,0,0,1,4,1,1,1,1
MTS_Project,org.example.exceptions,ArticleDeleteException,0,4,0,0,0,2,0,1,0,1
MTS_Project,org.example.exceptions,CommentDeleteException,0,4,0,0,0,2,0,1,0,1
MTS_Project,org.example.exceptions,ArticleNotFoundException,0,4,0,0,0,2,0,1,0,1
MTS_Project,org.example.exceptions,CommentCreateException,0,4,0,0,0,2,0,1,0,1
MTS_Project,org.example.exceptions,ArticleCreateException,4,0,0,0,2,0,1,0,1,0
MTS_Project,org.example.exceptions,ArticleUpdateException,0,4,0,0,0,2,0,1,0,1
MTS_Project,org.example.exceptions,EntityNotFoundException,0,4,0,0,0,2,0,1,0,1
